,Questions,Correct,A,B,C,D,Category
796,"Located at the Peterson Air Force base in Colorado, NORAD is a military organization that tracks aircraft, missiles and space vehicles. It also tracks what fictional character?
",Santa,The Easter Bunny,The Tooth Fairy,None of these,Santa,geography
797,"What U.S. interstate runs east and west through Colorado?
",I-70,I-40,I-80,I-90,I-70,geography
798,"Today people visit Colorado to go skiing, hiking, mountain biking and to enjoy the scenery. But 100 years ago, tourists more often went to the mountains to do what?
",Soak in hot springs,Soak in hot springs,Play golf,Record music,Go horseback riding,geography
799,"Early Colorado ranchers raised cattle, sheep, hogs, chickens, and turkeys, with the main focus on cattle.
",True,True,False,,,geography
800,"The huge grain industry in Colorado gives rise to breweries. Which of the following owns the biggest single site brewery located in Golden, Colorado?
",Molson Coors Brewing Company,Anheuser-Busch,Molson Coors Brewing Company,Jacob Leinenkugel Brewing Company,Highfalls Brewing Company,geography
801,"On May 5, 1920 two Italian-Americans, Nicola Sacco and Bartolomeo Vanzetti, were arrested, tried, and executed for the April 15, 1920 murders of a South Braintree paymaster and security guard and theft of the payroll. 
",at did Sacco give as his alibi?,He was at the Italian consulate in Boston.,He was in Plymouth peddling fish at the time.,He was visiting friends in West Bridgewater.,He was at the Italian consulate in Boston.,geography
802,"What is the state motto of Colorado?
",Nothing Without the Deity,Nothing Without the Deity,The people rule,God enriches,We Dare Defend Our Rights,geography
803,"What does the word Colorado mean?
",Colored Red,Colored Red,Indian Sky,Rocky Mountains,Mountain High,geography
804,"What is the state fish of Colorado?
",Greenback Cutthroat Trout,Rainbow Trout,Greenback Cutthroat Trout,Walleye,Salmon,geography
805,"What city in Colorado is known as the Richest Square Mile on Earth?
","Central City, Colorado","Central City, Colorado","Denver, Colorado","Leadville, Colorado","Colorado Springs, Colorado",geography
806,"What was the popular slogan of the Colorado Gold Rush?
",Pikes Peak or Bust,Westward Ho,Colorado Gold to Go,Go West Young Men,Pikes Peak or Bust,geography
807,"What year did Colorado become a state?
",1876,1876,1796,1896,1776,geography
808,"What city boasts the most parks in the US?
","Denver, Colorado","Colorado Springs, Colorado","Golden, Colorado","Denver, Colorado","Aspen, Colorado",geography
809,"What legendary American frontiersman commanded a major fort in Colorado?
",Kit Carson,Daniel Boone,Kit Carson,Wild Bill Cody,Jim Bowie,geography
810,"Glenwood Springs, Colorado was known for its hot springs and hospital. What famous outlaw and gun slinger expired from Tuberculosis there?
",Doc Holliday,Billy The Kid,Jesse James,Doc Holliday,Wyatt Earp,geography
811,"On which continent is the famous active volcano Mount Nyiragongo located?
",Africa,Asia,Australia,South America,Africa,geography
812,"On which of the islands of Papua New Guinea is the active volcano Ulawun located?
",New Britain,New Britain,New Guinea,Bougainville,New Ireland,geography
813,"The Arabic name of Mount Etna, the second-largest active volcano in Europe, was Jebel Utlamat. What does this mean in English?
",Mountain of Fire,The Edge of the World,Mountain of Fire,Home of the Devil,Breathing Mountain,geography
814,"In what country is the active volcano Sakurajima located?
",Japan,India,Peru,Japan,South Africa,geography
815,"What is the name of the most active volcano in Mexico, located mostly in the Mexican state of Jalisco?
",Colima,Nevado de Toluca,Barcena,Colima,Las Cumbres,geography
816,"What does the Indonesian name of the Mount Merapi volcano, Gunung Merapi, mean in English?
",Mountain of Fire,Gods Wrath,Cursed Mountain,Mountain of Fire,Hell Mountain,geography
817,"In what country is the active volcano Koryaksky located?
",Russia,Russia,Ukraine,Latvia,Poland,geography
818,"In what US state is the Fourpeaked Volcano, also known as Fourpeaked Mountain, situated?
",Alaska,Colorado,Oregon,Alaska,Montana,geography
819,"What is the name of the highest volcano in Asia, and the highest point in the Middle East?
",Mount Damavand,Bazman,Sabalan,Taftan,Mount Damavand,geography
820,"What is the name of the active volcano situated in Skamania County, Washington, USA, 50 miles (80 km) northeast of Portland, Oregon?
",Mount St. Helens,Mount St. Augustus,Mount St. Paul,Mount St. Georges,Mount St. Helens,geography
821,"The self-governed region of the Holy Mountain is considered part of the Greek state according to a decree
",ssed in what year?,1913,1910,1913,1925,geography
822,"What type of government does Sweden have?
",Constitutional monarchy,Absolute monarchy,Constitutional monarchy,None of these,Presidential republic,geography
823,"Which of these European countries shares a land border with Sweden?
",Norway,Switzerland,Denmark,Lithuania,Norway,geography
824,"What are the colors of the national flag of Sweden?
",Blue and yellow,Blue and yellow,White and blue,White and red,Red and yellow,geography
825,"What is the official language spoken by the citizens of Sweden?
",Swedish,Finnish and Swedish,Swedish,German and Swedish,Danish,geography
826,"What is the name of the largest city and capital of Sweden?
",Stockholm,Helsinki,Stockholm,Oslo,Gothenburg,geography
827,"The Swedish name of Sweden is Sverige. What does this word literally mean?
",Kingdom of the Swedes,Snow kingdom,Kingdom of the Swedes,Land of snow,Northern land,geography
828,"Which of these celebrities is not Swedish?
",Lars Ulrich,the members of ABBA,Lars Ulrich,Greta Garbo,Ingrid Bergman,geography
829,"What type of food is the popular Swedish dish called Surstromming?
",Fish,Fish,Salad,Soup,Dessert,geography
830,"What song is used as a de facto anthem of Sweden?
","Thou Ancient, Thou Free",Beautiful Sweden,The Song of the King,We Bow Before Thee,"Thou Ancient, Thou Free",geography
831,"What is the prevailing religion in Sweden?
",Lutheranism,Lutheranism,Eastern Orthodoxy,Protestantism,Roman Catholicism,geography
832,"What is the capital city of the Federative Republic of Brazil?
",Brasilia,Sao Paulo,Bogota,Rio de Janeiro,Brasilia,geography
833,"What is the meaning of the Portuguese word brasa from which the name of Brazil possibly originated?
",Ember,Jungle,River,Heaven,Ember,geography
834,"Which of these statements is wrong about the wildlife of Brazil?
",Brazil is the country with the most endemic species in the world.,It contains the most mammal species on the planet.,Brazil is the country with the largest biodiversity on the planet.,All of these,Brazil is the country with the most endemic species in the world.,geography
835,"What are the colors of the national flag of the Federative Republic of Brazil?
","White, blue, green and yellow","Yellow, green, black and blue","White, blue, green and yellow","Red, green and yellow",Green and black,geography
836,"What is the official language of the Federative Republic of Brazil?
",Portuguese,English and Spanish,Spanish,Spanish and Portuguese,Portuguese,geography
837,"What is the most popular sport among the people living in Brazil?
",Football,Volleyball,Rugby,Basketball,Football,geography
838,"What is the largest and richest city in Brazil?
",Sao Paulo,Sao Paulo,Salvador,Rio de Janeiro,Brasilia,geography
839,"What is the national motto of the Federative Republic of Brazil, also featured in the national flag of the country?
",Order and Progress,Faith and Honesty,Freedom Above All,Order and Progress,Unity and Strength,geography
840,"What type of food is the traditional Brazilian dish called Moqueca?
",Stew,Dessert,Drink,Salad,Stew,geography
841,"On what day of the week does the parade of the famous Rio Carnival traditionally start?
",Sunday,Sunday,Thursday,Wednesday,Friday,geography
