,Questions,Correct,A,B,C,D,Category
218,"Which of the following languages does not use a definite article?
",Russian,German,French,Modern Greek,Russian,humanities
219,"In which country should you be careful with any objects labelled gift (when the word is used as a noun)?
",Germany,Finland,Germany,Sweden,Norway,humanities
220,"Which of these words begins with one and the same sound in a great percentage of the languages in the world?
",Mother,Bread,Smile,Mother,Love,humanities
221,"Which is the only South American country that uses English as its official language?
",Guyana,Brazil,Ecuador,Guyana,Suriname,humanities
222,"Most of the traditional Indo-European languages capitalise I, the pronoun denoting the first person singular.
",False,False,True,,,humanities
223,"Which is the common official language of Austria, Liechtenstein, and Switzerland?
",German,German,English,Swedish,French,humanities
224,"What is the country with the greatest number of official languages?
",India,India,South Africa,USA,China,humanities
225,"Which Broadway show features the character of Billy Bigelow as the male lead?
",Carousel,Carousel,South Pacific,A Chorus Line,Oklahoma,humanities
226,"Which Rogers and Hammerstein musical features the comic character Ado Annie?
",Oklahoma,Carousel,MAME,Barnum,Oklahoma,humanities
227,"The character of Professor Harold Hill was created by composer Meredith Willson for which musical about Mid-West small town life in the turn of the 20th century?
",The Music Man,Kiss Me Kate,The Music Man,Guys and Dolls,Life on the Mississippi,humanities
228,"Carrie Pepperidge is the comic relief in which Rogers and Hammerstein show?
",Carousel,Hello Dolly,Mame,Carousel,Oklahoma,humanities
229,"Shoeless Joe Hardy sold his soul to the devil in which 50s musical revised in the 1990s?
",Damn Yankees,Damn Yankees,The Redhead,Candide,Annie Get Your Gun,humanities
230,"Charlemange of the Holy Roman Empire was a character in which Fosse musical?
",Pippin,Pippin,Spamalot,Camelot,A Little Night Music,humanities
231,"Marian the Librarian is the main love interest in which show?
",The Music Man,Chicago,Me and My Girl,The Music Man,The Will Rogers Follies,humanities
232,"Sportin Life is the likable villain in which Gershwin show?
",Porgy and Bess,Porgy and Bess,West Side Story,Big River,Showboat,humanities
233,"The beautiful Belle changes everyones fate in which Broadway musical?
",Beauty and the Beast,The Wiz,The Boy From Oz,The Lion King,Beauty and the Beast,humanities
234,"Nicely-Nicely Johnson is a second banana character in which Frank Lessor musical?
",Guys and Dolls,La Cage aux Folles,Me and My Girl,My One and Only,Guys and Dolls,humanities
235,"Often called the Father of American Anthropology, he established the first PhD program in anthropology in America.
",Franz Boas,Richard L. Jantz,Corey s. Sparks,Franz Boas,Jonathan Marks,humanities
236,"This fossil, first discovered in 1924, proved that the human race really had a natural history.
",Taung Child,Taung Child,Pitdown Man,Java Man,Neanderthal Man,humanities
237,"The name of of which extinct species means working man in Greek?
",Homo ergaster,Homo antecessor,Homo ergaster,Homo habilis,Homo cerpanensis,humanities
238,"This diminutive species was nicknamed hobbits after J.R.R Tolkiens fictional race of similar size.
",Homo floresiensis,Homo erectus palaejavanicus,Homo erectus soloensis,Homo floresiensis,Homo heidelbergensis,humanities
239,"The discovery site of which species was listed by UNESCO as a World Heritage Site in 1987?
",Peking Man,Rudolf Man,Handy Man,Georgia Man,Peking Man,humanities
240,"Turkana boy, a fossil famous for being almost a complete skeleton, was discovered in Kenya in which year?
",1984,1974,1984,1962,1981,humanities
241,"What is the meaning of the anthropology term Pithecanthropus in Greek?
",ape man,ape man,caveman,upright man,wise man,humanities
242,"This anatomist is famous for his discovery of the first specimen of early hominid remains ever found outside Europe.
",Eugene Dubois,Henry McHenry,David Pilbeam,Svante Paablo,Eugene Dubois,humanities
243,"The Cro-Magnons, considered virtually identical to contemporary humans, were discovered in France in which year?
",1868,1860,1868,1863,1900,humanities
244,"Name the remains of a prehistoric man, whose discovery in 1996 raised sensitive political issues, related to the Native Americans rights.
",Kennewick Man,Boxgrave Man,Kennewick Man,Lindow Man,Red Lady of Paviland,humanities
245,"This double-letter word is used to describe many items and is even the last name of some very famous people and fictional characters.
",Little,Small,Narrow,Little,Lesser,humanities
246,"This is an activity you usually do on snow but sometimes it is done on water.
",Skiing,Running,Skating,Skiing,Shooting,humanities
247,"This double-letter word refers to a yummy baked dish that can be delivered to your house hot and ready to eat.
",Pizza,Rolls,Spaghetti,Pizza,Moonpies,humanities
248,"The word savvy means intelligence or common sense.
",True,True,False,,,humanities
249,"The word vacuum means a space entirely devoid of matter.
",True,False,True,,,humanities
250,"These furry bundles of joy sometimes cause severe allergies in people.
",kittens,rattle snakes,wobbles,goons,kittens,humanities
251,"Which of the following words best fits this sentence: The next ____ will be out soon for everyone to read.?
",issue,newspaper,bubble,issue,pizzas,humanities
252,"A bubble is a period of intense speculation in a market, causing prices to rise quickly to irrational levels and then fall even more quickly as the bubble bursts.
",True,True,False,,,humanities
253,"Sometimes people who hike  very long distances hide supplies in boxes along their route. What are these boxes called?
",bounce boxes,suppliboxes,route boxes,bounce boxes,roadplies,humanities
254,"In 2007 this expression was introduced to describe an economy that is in a real frenzy.
",cappuccino economy,latteconomy,cappuccino economy,caffeine economy,Potus,humanities
255,"Someone who did not like the hardware made by Apple might use this expression.
",MacIntrash,MacIntrash,Sourapple,Roottenmacs,Jobs Sobs,humanities
256,"Because of the high cost of medical care, some older adults are abandoned by their caretakers. What is this called?
",granny dumping,gerontal deprivation,patriloss,parentaloss,granny dumping,humanities
257,"Sometimes people can get so many e-mails that they cannot deal with them. They might just delete them all and start again. What is this action called?
",e-mail bankruptcy,e-mail bankruptcy,e-looting,Instamesagloss,virtual bankruptcy,humanities
258,"This new form of exercise which combines step aerobics with soul music.
",Funkinetics,Stephopping,Exergaming,Aerohop,Funkinetics,humanities
259,"Which of these words describes movies that contain extreme and unnecessary violence.
",gorno,xoviolence,gorno,tremovile,xtremolence,humanities
260,"In computer messaging punctuation marks are sometimes used to show human emotion. What do we call a series of such marks?
",emoticons,emoticons,textations,virtutions,emailotions,humanities
261,"The mentoring system is all the rage. Which word refers to a person being mentored?
",mentee,monitor,mentator,mentee,mentationary,humanities
262,"This word refers to a newly wed man who was a bachelor for many years.
",a Benedict,a Benedict,a Neothorpe,a Neosexual,a Bachephile,humanities
263,"Which word refers to a very long-winded person?
",A.S.S. Graduate,mzee,lopomo,A.S.S. Graduate,twonk,humanities
264,"This is a Navaho legend, explaining the formation of a constellation. According to this myth there was a girl who married a bear. Her younger sister told their father and he got so furious, he killed the bear. In order to revenge, the bigger sister turned into a bear and began chasing her siblings. She killed her seven brothers who flew up in the sky and formed this constellation.
",Ursa Major,Ursa Minor,Ursa Major,Lynx,Draco,humanities
265,"This Navajo god of rains, whose name means water sprinkler, often played waggish tricks on mankind, but he never harmed anyone.
",Tonenili,Skywoman,Dineh,Spider Woman,Tonenili,humanities
266,"When evoked to cure an illness, this spirit could take the form of either a woman or a man, depending on the gender of the patient.
",Asgaya Gigagei,Aningan,Atira,Breathmaker,Asgaya Gigagei,humanities
267,"This military practice was widespread among American Indian tribes well before the European colonists came to the New World. It provided warriors with proof of his courage and a war trophy.
",Scalping,Shouting,Snake Dance,Riding horses,Scalping,humanities
268,"These items, taken from birds, were usually accepted as marks of honor or sources of ideas. They were also symbols of the Creative Force.
",Feathers,Claws,Wings,Feathers,Beaks,humanities
269,"This animal was considered an important spirit among most of the Northern tribes. It was responsible for sorrow and death, and was an omen of impending evil.
",Coyote,Coyote,Bear,Eagle,Raven,humanities
270,"According to the Iroquois, this woman fell from a hole in the sky and brought light to the world.
",Skywoman,Sunwoman,Skywoman,Moonwoman,Cloudwoman,humanities
271,"According to the Iroquois these demon gods flew during storms and ate people as humans were very delicious to them.
",Big heads,Bodyless,Storm heads,Flying heads,Big heads,humanities
272,"This bird is considered to be the master of the sky. It is the carrier of prayers, venerated for its courage and wisdom.
",Eagle,Eagle,Vulture,Owl,Condor,humanities
273,"According to the Pawnees this star was evil, since it had driven the Sun out of the sky.
",Evening star,Sirius,Morning star,Evening star,Venus,humanities
274,"Which one of these Renaissance artists was at first apprenticed to a goldsmith?
",Alessandro Botticelli,Raphael Sanzio,Leonardo da Vinci,Michelangelo Caravaggio,Alessandro Botticelli,humanities
275,"The Birth of Venus, The Annunciation, Medusa, and Flora are four artworks that all have this in common.
",They are exposed in the same gallery,They are exposed in the same gallery,They depict one and the same subject,They have one and the same author,They have nothing in common,humanities
276,"Michelangelos marble sculpture, Moses, was originally intended for the tomb of Pope Julius II in St. Peters Basilica, but after the popes death the sculpture was placed in a church on this hill -- one of the famous seven hills in Rome.
",Esquiline,Esquiline,Celio,Palatino,Aventino,humanities
277,"Which Medici family member commissioned the great Florentine architect Brunelleschi to reconstruct the Church of San Lorenzo in 1419?
",Cosimo the Elder,Cosimo I the Great,Cosimo the Elder,Giovanni di Bicci de Medici,Salvestro de Medici,humanities
278,"This one of Donatellos bronze statues was notable as the first unsupported standing work in bronze cast, since classical times.
",David,The Feast of Herod,David,Mary Magdalen,St. Mark,humanities
279,"Caravaggio was a Baroque painter, and this was the main subject in most of his artwork.
",Young men,Animals,Young men,Landscapes,Nude women,humanities
280,"Only one of these sculptures is not a work of Antonio Canova, famous for his ability to delicately render nude flesh in his statues.
",The Virgin,The Three Graces,Daedalus and Icarus,Cupid and Psyche,The Virgin,humanities
